Epoch 0, acc: 0.9868
Epoch 1, acc: 0.9859
Epoch 2, acc: 0.9850
Epoch 3, acc: 0.9867
Epoch 4, acc: 0.9876
Epoch 5, acc: 0.9871
Epoch 6, acc: 0.9871
Epoch 7, acc: 0.9862
Epoch 8, acc: 0.9860
Epoch 9, acc: 0.9858
Epoch 10, acc: 0.9863
Epoch 11, acc: 0.9868
Epoch 12, acc: 0.9869
Epoch 13, acc: 0.9857
Epoch 14, acc: 0.9867
Epoch 15, acc: 0.9876
Epoch 16, acc: 0.9881
Epoch 17, acc: 0.9874
Epoch 18, acc: 0.9881
Epoch 19, acc: 0.9875
Epoch 20, acc: 0.9872
Epoch 21, acc: 0.9856
Epoch 22, acc: 0.9862
Epoch 23, acc: 0.9862
Epoch 24, acc: 0.9863
Epoch 25, acc: 0.9855
Epoch 26, acc: 0.9859
Epoch 27, acc: 0.9864
Epoch 28, acc: 0.9858
Epoch 29, acc: 0.9873
Epoch 30, acc: 0.9874
Epoch 31, acc: 0.9872
Epoch 32, acc: 0.9862
Epoch 33, acc: 0.9856
Epoch 34, acc: 0.9863
Epoch 35, acc: 0.9855
Epoch 36, acc: 0.9864
Epoch 37, acc: 0.9860
Epoch 38, acc: 0.9861
Epoch 39, acc: 0.9873
Epoch 40, acc: 0.9863
Epoch 41, acc: 0.9865
Epoch 42, acc: 0.9861
Epoch 43, acc: 0.9868
Epoch 44, acc: 0.9879
Epoch 45, acc: 0.9868
Epoch 46, acc: 0.9871
Epoch 47, acc: 0.9870
Epoch 48, acc: 0.9878
Epoch 49, acc: 0.9862
